Country,2017,2018,2019,2020,2021
Australia,1.74,1.74,1.67,1.59,1.7
Austria,1.52,1.48,1.46,1.44,1.48
Belgium,1.65,1.62,1.6,1.55,1.6
Canada,1.55,1.56,1.47,1.41,1.43
Chile,1.6,1.56,1.55,1.54,1.54
Colombia,1.82,1.79,1.77,1.74,1.72
Costa Rica,1.74,1.71,1.63,1.56,1.53
Czechia,1.69,1.71,1.71,1.71,1.83
Denmark,1.75,1.73,1.7,1.67,1.72
Estonia,1.59,1.67,1.66,1.58,1.61
Finland,1.49,1.41,1.35,1.37,1.46
France,1.86,1.84,1.83,1.79,1.8
Germany,1.57,1.57,1.54,1.53,1.58
Greece,1.35,1.35,1.34,1.39,1.43
Hungary,1.49,1.49,1.49,1.56,1.59
Iceland,1.71,1.71,1.75,1.72,1.82
Ireland,1.78,1.75,1.7,1.63,1.72
Israel,3.11,3.09,3.01,2.9,3
Italy,1.34,1.31,1.27,1.24,1.25
Japan,1.43,1.42,1.36,1.33,1.3
Korea,1.05,0.98,0.92,0.84,0.81
Latvia,1.69,1.6,1.61,1.55,1.57
Lithuania,1.63,1.63,1.61,1.48,1.36
Luxembourg,1.39,1.38,1.34,1.36,1.38
Mexico,2.04,2,1.92,1.91,1.82
Netherlands,1.62,1.59,1.57,1.54,1.62
New Zealand,1.81,1.71,1.72,1.61,1.64
Norway,1.62,1.56,1.53,1.48,1.55
Poland,1.45,1.44,1.42,1.39,1.33
Portugal,1.38,1.42,1.43,1.41,1.35
Slovak Republic,1.52,1.54,1.57,1.59,1.63
Slovenia,1.62,1.6,1.61,1.59,1.64
Spain,1.31,1.26,1.23,1.19,1.19
Sweden,1.78,1.75,1.7,1.66,1.67
Switzerland,1.52,1.52,1.48,1.46,1.51
Turkiye,2.07,1.99,1.88,1.76,1.7
United Kingdom,1.74,1.68,1.63,1.56,1.53
United States,1.77,1.73,1.71,1.64,1.66
